person,race,gender
"Jinko Gotoh, Marisa Román, Sergio Pablos",White,Male
"John A. Davis, Steve Oedekerk",White,Male
"Paul Young, Ross Stewart, Stéphan Roelants, Tomm Moore",White,Male
"Jeremy Dawson, Scott Rudin, Steven Rales, Wes Anderson",White,Male
Albert Wolsky,White,Male
Alexandra Byrne,White,Female
Ann Roth,White,Female
Anna B. Sheppard,White,Female
Anna Sheppard,White,Female
Antonella Cannarozzi,White,Female
Arianne Phillips,White,Female
Bina Daigeler,White,Female
Bob Ringwood,White,Male
Catherine Leterrier,White,Female
Catherine Martin,White,Female
"Angus Strathie, Catherine Martin",White,F - M
Colleen Atwood,White,Female
Consolata Boyle,White,Female
Danny Glicker,White,Male
Dien van Straalen,White,Female
Eiko Ishioka,Asian,Female
Gabriella Pescucci,White,Female
Jacqueline Durran,White,Female
Jacqueline West,White,Female
"Jacqueline West, Robert Morgan",White,F - M
Janet Patterson,White,Female
Jenny Beavan,White,Female
Joanna Johnston,White,Female
Judianna Makovsky,White,Female
Julie Weiss,White,Female
Lisy Christl,White,Female
Luis Sequeira,Hispanic,Male
Madeline Fontaine,White,Female
Marit Allen,White,Female
Mark Bridges,White,Male
Mary Zophres,White,Female
Massimo Cantini Parrini,White,Male
"Jacqueline Durran, Massimo Cantini Parrini",White,F - M
Mayes C. Rubeo,Hispanic,Female
Michael O'Connor,White,Male
Michael Wilkinson,White,Male
Milena Canonero,White,Female
Monique Prudhomme,White,Female
Ngila Dickson,White,Female
"Ngila Dickson, Richard Taylor",White,F - M
Paco Delgado,White,Male
Patricia Field,Middle Eastern,Female
Patricia Norris,White,Female
Paul Tazewell,Black,Male
Ruth Carter,Black,Female
Sandy Powell,White,Female
"Christopher Peterson, Sandy Powell",White,F - M
Sharen Davis,Black,Female
Shirley Kurata,Asian,Female
Trish Summerville,White,Female
Wendy Stites,White,Female
William Chang Suk Ping,Asian,Male
Yee Chung Man,Asian,Male
"Paul Kewley, Richard Phelan, Will Becher",White,Male
Ariana DeBose,Black,Female
Ben Kingsley,Indian,Male
Catherine Keener,Middle Eastern,Female
Halle Berry,Black,Female
Keisha Castle-Hughes,White,Female
Ruth Negga,Black,Female
Sophie Okonedo,Black,Female
Jean-Pierre Jeunet,White,Male
Petter Naess,White,Male
Ashutosh Gowariker,Indian,Male
Danis Tanovic,White,Male
Juan José Campanella,Hispanic,Male
Carlos Carrera,Hispanic,Male
Zhang Yimou,Asian,Male
Aki Kaurismäki,White,Male
Caroline Link,White,Female
Paula van der Oest,White,Female
Denys Arcand,White,Male
Mikael Hafström,White,Male
Yoji Yamada,Asian,Male
Ben Sombogaart,White,Male
Ondrej Trojan,White,Male
Kay Pollak,White,Male
Christophe Barratier,White,Male
Oliver Hirschbiegel,White,Male
Alejandro Amenábar,Hispanic,Male
Darrel Roodt,Black,Male
Cristina Comencini,White,Female
Cristian Carion,White,Male
Hany Abu-Assad,Middle Eastern,Male
Marc Rothemund,White,Male
Gavin Hood,White,Male
Bart Freundlich,White,Male
Rachid Bouchareb,Black,Male
Florian Henckel von Donnersmarck,White,Male
Deepa Mehta,Indian,Female
Joseph Cedar,Middle Eastern,Male
Stefan Ruzowitzky,White,Male
Andrzej Wajda,White,Male
Serguéi Bodrov,White,Male
Nikita Mijalkov,White,Male
Uli Edel,White,Male
Laurent Cantet,White,Male
Yojiro Takita,Asian,Male
Götz Spielmann,White,Male
Ari Folman,Middle Eastern,Male
"Scandar Copti, Yaron Shani",Middle Eastern,Male
Claudia Llosa,Hispanic,Female
Jacques Audiard,White,Male
Susanne Bier,White,Female
Michaël R. Roskam,White,Male
Agnieszka Holland,White,Female
Phillipe Falardeau,White,Male
Asghar Farhadi,Middle Eastern,Male
"Espen Sandberg, Joachim Ronning",White,Male
Pablo Larraín,Hispanic,Male
Nikolaj Arcel,White,Male
Kim Nguyen,White,Male
Felix Van Groeningen,White,Male
Paolo Sorrentino,White,Male
Rithy Panh,Asian,Male
Andréi Sviáguintsev,White,Male
Zaza Urushadze,Middle Eastern,Male
Abderrahmane Sissako,Black,Male
Damián Szifron,White,Male
Ciro Guerra,Hispanic,Male
Deniz Gamze Ergüven,Middle Eastern,Female
László Nemes,White,Male
Naji Abu Nowar,Middle Eastern,Male
Tobias Lindholm,White,Male
Martin Zandvliet,White,Male
Hannes Holm,White,Male
"Bentley Dean, Martin Butler",White,Male
Maren Ade,White,Female
Sebastián Lelio,White,Male
Ziad Doueiri,Middle Eastern,Male
Andréi Sviáguinstev,White,Male
Ildikó Enyedi,White,Female
Nadine Labaki,Middle Eastern,Female
Hirokazu Koreeda,Asian,Male
Jan Komasa,White,Male
Tamara Kotevska,White,Female
Ladj Ly,Black,Male
Bong Joon-ho,Asian,Male
Derek Tsang,Asian,Male
Alexander Nanau,White,Male
Kaouther Ben Hania,Middle Eastern,Female
Jasmila Zbanic,White,Female
Jonas Poher Rasmussen,White,Male
Pawo Choyning Dorji,Indian,Male
Joachim Trier,White,Male
Edward Berger,White,Male
Santiago Mitre,Hispanic,Male
Lukas Dhont,White,Male
Jerzy Skolimowski,White,Male
Colm Bairéad,White,Male
A.R. Rahman,Indian,Male
Alberto Iglesias,White,Male
Alexandre Desplat,White,Male
Carter Burwell,White,Male
Danny Elfman,White,Male
Dario Marianelli,White,Male
"Dustin O'Halloran, Hauschka",White,Male
Elliot Goldenthal,White,Male
Elmer Bernstein,White,Male
Emile Mosseri,White,Male
Ennio Morricone,White,Male
Gabriel Yared,Middle Eastern,Male
Gary Yershon,White,Male
Germaine Franco,Hispanic,Female
Gustavo Santaolalla,Hispanic,Male
Hans Zimmer,White,Male
Hildur Guðnadóttir,White,Female
Howard Shore,White,Male
