title,ID
The Girl with the Dragon Tattoo,1568346
Manchester by the Sea,4034228
Autism Is a World,0443434
Coming 2 America,6802400
My Life as a Zucchini,2321405
Star Trek,0796366
Jane Eyre,1229822
Top Gun: Maverick,1745960
Marguerite,6803040
Mother,5109784
House of Sand and Fog,0315983
No Country for Old Men,0477348
Slumdog Millionaire,1010048
Man on Wire,1155592
Flags of Our Fathers,0418689
The Fighter,0964517
A Love Song for Latasha,8993180
Steve Jobs,2080374
Call Me by Your Name,5726616
Klaus,4729430
Extremely Loud & Incredibly Close,0477302
Blind Vaysha,5559726
Lifted,0945571
Carol,2402927
The Little Matchgirl,0816562
The New World,0402399
Raju,1819651
Spotlight,1895587
First Reformed,6053438
Squash,0341588
Mudbound,2396589
Ernest & Celestine,1816518
Spectre,2379713
If Beale Street Could Talk,7125860
The Tragedy of Macbeth,10095582
The Social Network,1285016
Hellboy II: The Golden Army,0411477
Living,9051908
La Luna,1957945
The Betrayal (Nerakhoon),1157685
Snow White and the Huntsman,1735898
The Black Dahlia,0387877
Let's Pollute,1470652
Lady Bird,4925292
Dogtooth,1379182
The Man Who Sold His Skin,10360862
Lincoln,0443272
This Way Up,1279499
Spirited Away,0245429
A Prophet,1235166
Hacksaw Ridge,2119532
Wolfwalkers,5198068
Four Good Days,10344522
Watani: My Homeland,6195494
Frankenweenie,1142977
St. Louis Superman,10009148
Whiplash,2582802
Badgered,0455912
The Adventures of Tintin,0983193
"Three Billboards outside Ebbing, Missouri",5027774
Footnote,1445520
Extremis,5538078
Granny O'Grimm's Sleeping Beauty,1382454
Being Julia,0340012
Hunger Ward,12979636
Shark Tale,0307453
Tupac: Resurrection,0343121
Adaptation,0268126
Il Divo,1023490
Dimanche/Sunday,2177813
The Lighthouse,7984734
Elling,0279064
King Richard,9620288
Women Talking,13669038
Ice Merchants,19781688
Outside the Law (Hors-la-loi),1229381
In a Better World,1340107
The Lion King,6105098
Piper,5613056
The Neighbors' Window,8163822
The Triplets of Belleville,0286244
Gangs of New York,0217505
The Reader,0976051
Même les Pigeons Vont au Paradis (Even Pigeons Go to Heaven),1066329
Salt,0944835
Click,0389860
12 Years a Slave,2024544
Charlie Wilson's War,0472062
La La Land,3783958
Bridget Jones's Diary,0243155
Lead Me Home,15339848
French Roast,1323520
the accountant,0222675
Joy,2446980
Ave Maria,4419794
Passengers,1355644
The Windshield Wiper,9464038
Capturing the Friedmans,0342172
The Ides of March,1124035
"tick, tick...BOOM!",8721424
The Constant Gardener,0387131
Sing,3470600
Time,7131622
Parallel Mothers,12618926
Moulin Rouge,0203009
Ratatouille,0382932
The Red Turtle,3666024
Music by Prudence,1543539
Marie Antoinette,0422720
Barney's Version,1423894
Memorable,10499942
Everything Will Be Okay (Alles Wird Gut),4324518
Cutie and the Boxer,2355540
The Lone Ranger,1210819
Blue Jasmine,2334873
Salim Baba,1157707
The Pig,1333640
Brave,1217209
Junebug,0418773
Pearl,5599918
Puss in Boots,0448694
Girl with a Pearl Earring,0335119
Molly's Game,4209788
Corpus Christi,8649186
Ted,1637725
The Dark Knight,0468569
Frozen II,4520988
Birthday Boy,0435933
Despicable Me 2,1690953
Shoplifters,8075192
Cars,0317219
Ali,0248667
Peter & the Wolf,0863136
The Missing Picture,2852470
Crisis Hotline: Veterans Press 1,3449252
5 Broken Cameras,2125423
Moana,3521164
Detainment,6813264
"The Boy, the Mole, the Fox and the Horse",22667880
